"tract","Name","Density_of_Jobs_in_2013"
24510271102,"Mid-Charles, Baltimore, MD",3184
24005411307,"Nottingham, MD",3153
24510260404,"Baltimore Highlands, Baltimore, MD",3118
24510090400,"Better Waverly, Baltimore, MD",3110
24510240400,"Riverside Park, Baltimore, MD",3105
24510120300,"Harwood, Baltimore, MD",3064
24005440600,"Rosedale, MD",3056
24510140100,"Bolton Hill, Baltimore, MD",3032
24005491202,"Towson, MD",3020
24005492500,"Baltimore, MD",2968
24005490601,"Baltimore, MD",2897
24510280102,"Gwynn Oak, Baltimore, MD",2835
24510080302,"Berea, Baltimore, MD",2829
24510130300,"Penn North, Baltimore, MD",2804
24003751200,"Linthicum Heights, MD",2781
24510260605,"Medford - Broening, Baltimore, MD",2761
24005492300,"Essex, MD",2564
24510261000,"Patterson Park, Baltimore, MD",2558
24510120201,"Baltimore, MD",2545
24510180300,"Hollins Market, Baltimore, MD",2536
24005420303,"Dundalk, MD",2511
24510272007,"Fallstaff, Baltimore, MD",2435
24510060200,"Baltimore, MD",2390
24005402407,"Windsor Mill, Milford Mill, MD",2362
24005400100,"Catonsville, MD",2353
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",2321
24005400702,"Baltimore, MD",2288
24510250205,"Lakeland, Baltimore, MD",2273
24005440300,"Nottingham, MD",2262
24510260700,"Fifteenth Street, Baltimore, MD",2239
24005420100,"Dundalk, MD",2234
24510100100,"Johnson Square, Baltimore, MD",2211
24005401301,"Woodlawn, MD",2188
24005490602,"Baltimore, MD",2188
24003751102,"Glen Burnie, MD",2136
24510260303,"Claremont - Freedom, Baltimore, MD",2113
24005440702,"Rosedale, MD",2082
24510120400,"Barclay, Baltimore, MD",2056
24003750300,"Linthicum Heights, MD",2008
24005402303,"Windsor Mill, Baltimore, MD",1995
24005491100,"Baltimore, MD",1991
24005400701,"Catonsville, MD",1954
24510250207,"Cherry Hill, Baltimore, MD",1946
24510080400,"Broadway East, Baltimore, MD",1897
24005400900,"Catonsville, MD",1848
24510272006,"Glen, Baltimore, MD",1839
24510130803,"Medfield, Baltimore, MD",1825
24005452300,"Baltimore, MD",1809
24510270200,"Lauraville, Baltimore, MD",1785
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",1774
24510140300,"Druid Heights, Baltimore, MD",1755
24510150300,"Coppin Heights, Baltimore, MD",1753
24005420200,"Dundalk, MD",1702
24510100200,"Baltimore, MD",1695
24005420701,"Dundalk, MD",1670
24005450100,"Rosedale, MD",1657
24510150100,"Sandtown-Winchester, Baltimore, MD",1636
24005492102,"Parkville, MD",1603
24005492101,"Parkville, MD",1595
24510271101,"Radnor - Winston, Baltimore, MD",1578
24003750101,"Brooklyn Park, MD",1559
24005401505,"Catonsville, MD",1545
24510271501,"Mount Washington, Baltimore, MD",1539
24005402307,"Pikesville, MD",1520
24005440800,"Rosedale, MD",1507
24510271600,"Edgecomb, Baltimore, MD",1506
24510250303,"Morrell Park, Baltimore, MD",1486
24027601204,"Elkridge, MD",1484
24510270805,"Mid-Govans, Baltimore, MD",1482
24005450400,"Essex, MD",1472
24510271400,"Evergreen, Baltimore, MD",1459
24510080200,"Broadway East, Baltimore, MD",1458
24510250500,"Curtis Bay, Baltimore, MD",1449
24510271900,"Glen, Baltimore, MD",1417
24510010200,"Patterson Park, Baltimore, MD",1394
24510200600,"Baltimore, MD",1386
24510260201,"Frankford, Baltimore, MD",1372
24005421000,"Dundalk, MD",1353
24005403602,"Baltimore, MD",1327
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",1324
24005401200,"Woodlawn, MD",1319
24510190300,"Mount Clare, Baltimore, MD",1317
24510271802,"Langston Hughes, Baltimore, MD",1312
24510120100,"Tuscany - Canterbury, Baltimore, MD",1307
24510060300,"Butchers Hill, Baltimore, MD",1306
24510150600,"NW Community Action, Baltimore, MD",1273
24510260402,"Frankford, Baltimore, MD",1253
24510271300,"Roland Park, Baltimore, MD",1248
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",1240
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",1238
24510271801,"Arlington, Baltimore, MD",1228
24510230300,"South Baltimore, Baltimore, MD",1227
24005490603,"Baltimore, MD",1223
24510190100,"Franklin Square, Baltimore, MD",1216
24510151000,"Dorchester, Baltimore, MD",1213
24510250401,"Brooklyn, Baltimore, MD",1211
24005420900,"Dundalk, MD",1210
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",1205
24510200800,"Irvington, Baltimore, MD",1192
24510151300,"Central Park Heights, Baltimore, MD",1176
24510010300,"Canton, Baltimore, MD",1162
24005411407,"Parkville, MD",1151
24005420402,"Dundalk, MD",1151
24005430800,"Halethorpe, MD",1147
24005451500,"Middle River, MD",1134
24510020100,"Upper Fells Point, Baltimore, MD",1119
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",1118
24510200200,"Lexington, Baltimore, MD",1106
24005420301,"Dundalk, MD",1103
24510060100,"Patterson Park, Baltimore, MD",1098
24005451600,"Middle River, MD",1092
24005441101,"Rosedale, MD",1088
24510150701,"Hanlon Longwood, Baltimore, MD",1088
24510250600,"Brooklyn, Baltimore, MD",1080
24005450300,"Essex, MD",1070
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",1063
24005420600,"Baltimore, MD",1060
24005492001,"Parkville, MD",1052
24005491402,"Parkville, MD",1041
24005400600,"Catonsville, MD",1027
24510270402,"Glenham-Belford, Baltimore, MD",1022
24510270401,"Glenham-Belford, Baltimore, MD",1021
24005450503,"Essex, MD",1020
24510270301,"Lauraville, Baltimore, MD",997.7
24005420500,"Baltimore, MD",969.7
24005452400,"Dundalk, MD",967.3
24510270501,"Woodring, Baltimore, MD",959.8
24510260301,"Belair - Edison, Baltimore, MD",957.3
24510200300,"Bentalou-Smallwood, Baltimore, MD",956.5
24510260604,"O'Donnell Heights, Baltimore, MD",943.3
24510260203,"Frankford, Baltimore, MD",939
24005440100,"Baltimore, MD",938.7
24510170300,"Upton, Baltimore, MD",932.2
24510150200,"Sandtown-Winchester, Baltimore, MD",925.9
24510180100,"Poppleton, Baltimore, MD",924.2
24005420800,"Dundalk, MD",903.8
24005451300,"Middle River, MD",888.3
24005491401,"Parkville, MD",884.1
24510271200,"Homeland, Baltimore, MD",880.6
24005420702,"Dundalk, MD",866.9
24005450501,"Essex, MD",860.7
24005400800,"Catonsville, MD",859.4
24510200400,"Shipley Hill, Baltimore, MD",853.3
24005401101,"Woodlawn, MD",848.1
24510160600,"Mosher, Baltimore, MD",824.1
24510010500,"Upper Fells Point, Baltimore, MD",816.7
24510250102,"Yale Heights, Baltimore, MD",814
24510150800,"Garwyn Oaks, Baltimore, MD",812.4
24510270903,"Hillen, Baltimore, MD",811.9
24005403300,"Lochearn, Pikesville, MD",805.7
24510070100,"Baltimore, MD",803.6
24510280404,"Irvington, Baltimore, MD",790.3
24003750202,"Brooklyn Park, MD",790.2
24005451701,"Middle River, MD",788
24510270901,"New Northwood, Baltimore, MD",778.6
24027601201,"Elkridge, MD",765.8
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",761.5
24005421101,"Baltimore, MD",757.6
24005400400,"Catonsville, MD",746.6
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",742.7
24510280403,"Westgate, Baltimore, MD",734.5
24005490800,"Towson, MD",732.6
24005430900,"Baltimore, MD",728.4
24005450800,"Essex, MD",721.6
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",717.5
24510090900,"Oliver, Baltimore, MD",713.2
24510270302,"Waltherson, Baltimore, MD",700
24510270502,"North Harford Road, Baltimore, MD",698.7
24510080800,"Broadway East, Baltimore, MD",682.5
24005403701,"Owings Mills, MD",678.3
24510270802,"Ramblewood, Baltimore, MD",665.9
24005403500,"Pikesville, MD",662.8
24510260101,"Cedmont, Baltimore, MD",661.4
24510130200,"Reservoir Hill, Baltimore, MD",659.3
24510160400,"Midtown Edmondson, Baltimore, MD",658.1
24510200702,"Saint Joseph's, Baltimore, MD",657.7
24510080101,"Belair - Edison, Baltimore, MD",615.2
24005403803,"Pikesville, MD",613.9
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",608
24510271002,"Winston - Govans, Baltimore, MD",607
24510270703,"North Harford Road, Baltimore, MD",601.6
24005420302,"Dundalk, MD",600
24005491300,"Baltimore, MD",598.9
24003750102,"Baltimore, MD",596
24005440200,"Nottingham, MD",586.8
24510260403,"Cedonia, Baltimore, MD",573.6
24005403201,"Gwynn Oak, Lochearn, MD",572.7
24510250301,"Westport, Baltimore, MD",569.3
24005402405,"Gwynn Oak, Baltimore, MD",562.3
24510130400,"Woodbrook, Baltimore, MD",561
24510272005,"Cross Country, Baltimore, MD",550.3
24005440900,"Rosedale, MD",549.4
24005491000,"Baltimore, MD",547.9
24003750400,"Linthicum Heights, MD",545.2
24510190200,"Pratt Monroe, Baltimore, MD",541.3
24005450200,"Essex, MD",531.6
24510280402,"Rognel Heights, Baltimore, MD",530.2
24510150702,"Walbrook, Baltimore, MD",529.8
24027601103,"West Elkridge, Elkridge, MD",527.6
24510270804,"Lake Walker, Baltimore, MD",519.7
24510260401,"Armistead Gardens, Baltimore, MD",516.4
24510151200,"Park Circle, Baltimore, MD",506.7
24510280401,"Baltimore, MD",504.7
24005450504,"Essex, MD",501.1
24510200701,"Allendale, Baltimore, MD",501.1
24003750201,"Brooklyn, Baltimore, MD",496
24510070200,"Madison - Eastend, Baltimore, MD",491.7
24510151100,"East Arlington, Baltimore, MD",486.3
24510260302,"Belair - Edison, Baltimore, MD",485.5
24510271001,"Baltimore, MD",484.5
24510160200,"Sandtown-Winchester, Baltimore, MD",479.2
24005451401,"Middle River, MD",472.1
24005402304,"Gwynn Oak, Baltimore, MD",469
24005411302,"White Marsh, MD",468
24005440400,"Baltimore, MD",466.1
24510160801,"Edmondson, Baltimore, MD",460
24510272003,"Baltimore, MD",459.2
24005452500,"Dundalk, MD",439.4
24510270801,"Idlewood, Baltimore, MD",439.1
24005492002,"Parkville, MD",438.7
24005402404,"Gwynn Oak, Lochearn, MD",431.2
24005440500,"Nottingham, MD",427.1
24510130805,"Cold Springs, Baltimore, MD",408.2
24005411306,"Nottingham, MD",401.4
24005400200,"Catonsville, MD",398.9
24003750203,"Baltimore, MD",396.8
24005491500,"Parkville, MD",391.8
24005452000,"Sparrows Point, MD",387.8
24510160700,"Rosemont, Baltimore, MD",366.8
24510080700,"Broadway East, Baltimore, MD",365.2
24510250204,"Cherry Hill, Baltimore, MD",354.4
24005421102,"Dundalk, MD",346.3
24510080301,"Berea, Baltimore, MD",346.2
24005403601,"Baltimore, MD",341.2
24005430700,"Halethorpe, MD",338.4
24510272004,"Cheswolde, Baltimore, MD",321.2
24510160100,"Harlem Park, Baltimore, MD",310.8
24510250402,"Brooklyn, Baltimore, MD",308.8
24005421200,"Dundalk, MD",303.7
24005441000,"Baltimore, MD",296.2
24510260202,"Parkside, Baltimore, MD",286.8
24005451802,"Middle River, MD",279.1
24005402403,"Gwynn Oak, Baltimore, MD",278.7
24005411308,"Nottingham, MD",278.6
24005490500,"Towson, MD",268.3
24510080600,"Broadway East, Baltimore, MD",261.5
24510260102,"Frankford, Baltimore, MD",255.4
24005490400,"Towson, MD",253.7
24005430600,"Relay, Halethorpe, MD",248.3
24005451100,"Essex, MD",243.7
24005451402,"Middle River, MD",242.1
24005403100,"Gwynn Oak, Pikesville, MD",223.3
24510250101,"Beechfield, Baltimore, MD",223.1
24005450900,"Essex, MD",215.7
24510130100,"Reservoir Hill, Baltimore, MD",205.1
24510280301,"Gwynn Oak, Baltimore, MD",202.1
24005401302,"Gwynn Oak, Baltimore, MD",200.9
24510270102,"Waltherson, Baltimore, MD",200.5
24005402305,"Lochearn, Pikesville, MD",193.2
24005420401,"Dundalk, MD",192.9
24005402604,"Randallstown, MD",165.8
24005452100,"Sparrows Point, MD",165.6
24510280200,"Gwynn Oak, Baltimore, MD",156.5
24005441102,"Rosedale, MD",153.7
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",142
24005421300,"Dundalk, MD",133.9
24027601104,"Ellicott City, MD",116.7
24510270101,"Arcadia, Baltimore, MD",97.83
24005403202,"Gwynn Oak, Baltimore, MD",93.96
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",90.91
24510150900,"Windsor Hills, Baltimore, MD",78.85
24510160802,"Edmondson, Baltimore, MD",74
24005451900,"Edgemere, MD",64.78
24005451702,"Middle River, MD",53.33
24005400500,"Catonsville, MD",34.41
24005451000,"Essex, MD",34
24510280302,"West Forest Park, Baltimore, MD",18.97
